Category,Operator,Description
Time Series,"ts_scale(x, d, constant = 0)","Scales a time series to a 0-1 range based on its minimum and maximum values over a specified period, with an optional constant shift."
Time Series,"ts_std_dev(x, d)","Calculates the standard deviation of a data series x over the past d days, measuring how much the values deviate from their mean during that period."
Time Series,ts_step(1),"Returns a counter of days, incrementing by one each day."
Time Series,"ts_sum(x, d)",Sum values of x for the past d days.
Time Series,"ts_zscore(x, d)","Calculates the Z-score of a time series, showing how far today's value is from the recent average, measured in standard deviations."
Cross Sectional,"normalize(x, useStd = false, limit = 0.0)","Calculates the mean value of all valid alpha values for a certain date, then subtracts that mean from each element"
Cross Sectional,"quantile(x, driver = gaussian, sigma = 1.0)","Rank the raw vector, shift the ranked Alpha vector, apply distribution (gaussian, cauchy, uniform)."
Cross Sectional,"rank(x, rate=2)","Ranks the input among all the instruments and returns an equally distributed number between 0.0 and 1.0. For precise sort, use the rate as 0"
Cross Sectional,"scale(x, scale=1, longscale=1, shortscale=1)","Scales input to booksize. We can also scale the long positions and short positions to separate scales by mentioning additional parameters to the operator"
Cross Sectional,"winsorize(x, std=4)","Winsorizes x to make sure that all values in x are between the lower and upper limits, which are specified as multiple of std."
Cross Sectional,zscore(x),"Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean."
Vector,vec_avg(x),Taking mean of the vector field x
Vector,vec_sum(x),Sum of vector field x
Transformational,"bucket(rank(x), range=""0, 1, 0.1"" or buckets = ""2,5,6,7,10"")","Convert float values into indexes for user-specified buckets. Bucket is useful for creating group values, which can be passed to GROUP as input"
Transformational,"trade_when(x, y, z)","Used in order to change Alpha values only under a specified condition and to hold Alpha values in other cases. It also allows to close Alpha positions (assign NaN values) under a specified condition"
Group,"group_backfill(x, group, d, std = 4.0)","If a certain value for a certain date and instrument is NaN, from the set of same group instruments, calculate winsorized mean of all non-NaN values over last d days"
Group,"group_mean(x, weight, group)",All elements in group equals to the mean
Group,"group_neutralize(x, group)","Neutralizes Alpha against groups. These groups can be subindustry, industry, sector, country or a constant"
Group,"group_rank(x, group)",Each elements in a group is assigned the corresponding rank in this group
Group,"group_scale(x, group)","Normalizes the values in a group to be between 0 and 1. (x - groupmin) / (groupmax - groupmin)"
Group,"group_zscore(x, group)","Calculates group Z-score - numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean."
